"","surveyLocation","point","observer1","observer2","date","start","cloudCover","weather","recorder","recordingfile","photoFileOriginal","photoFileEdited","editor","species","detectionType","total","estimate","distance","callTime","comment","entered","proofed","occasion"
"3108","Tauk","TTB6-3","Indah","Rikardus","2017-12-10","06:35",40,"akan cerah","YPI","171210-002.wav","IMG_20171213_111908.jpg","IMG_20180707_104552.jpg","ISS","","",NA,NA,NA,"","near stream","KSL",NA,3
"3144","Tauk","TTB6-6","Indah","Rikardus","2017-12-10","08:10",0,"cerah","YPI","","IMG_20171213_111933.jpg","IMG_20180707_104619.jpg","ISS","","A",1,0,4,"07:54","","KSL",NA,3
"3145","Tauk","TTB6-6","Indah","Rikardus","2017-12-10","08:10",0,"cerah","YPI","","IMG_20171213_111933.jpg","IMG_20180707_104619.jpg","ISS","","A",1,0,3,"08:30","","KSL",NA,3
"3168","Tauk","TTB6-9","Indah","Rikardus","2017-12-10","09:30",0,"cerah","YPI","171210-008.wav","IMG_20171213_111959.jpg","IMG_20180707_104645.jpg","ISS","","A",1,0,4,"06:04","","KSL",NA,3
"3169","Tauk","TTB6-9","Indah","Rikardus","2017-12-10","09:30",0,"cerah","YPI","171210-008.wav","IMG_20171213_111959.jpg","IMG_20180707_104645.jpg","ISS","","A",1,0,NA,"07:17","","KSL",NA,3
"4041","Tauk","TTB2-2","Indah","Rikardus","2018-01-26","05:58",100,"mendung","YPI","180126-001.wav","IMG_0932.jpg","IMG_20180707_114431.jpg","ISS","","A",1,0,2,"00:07","","KSL",NA,4
"4057","Tauk","TTB2-3","Indah","Rikardus","2018-01-26","06:22",100,"mendung","YPI","180126-002.wav","IMG_0933.jpg","IMG_20180707_114437.jpg","ISS","","A",1,0,1,"03:50","","KSL",NA,4
"4073","Tauk","TTB2-4","Indah","Rikardus","2018-01-26","06:45",95,"mendung","YPI","180126-003.wav","IMG_0934.jpg","IMG_20180707_114447.jpg","ISS","","A",1,0,3,"05:39","","KSL",NA,4
"4087","Tauk","TTB2-6","Indah","Rikardus","2018-01-26","07:33",95,"mendung berkabut","YPI","180126-005.wav","IMG_0936.jpg","IMG_20180707_114505.jpg","ISS","","A",3,0,4,"01:07","","KSL",NA,4
"4474","Tauk","TTB8-1","Indah","Rikardus","2018-01-31","05:30",100,"akan cerah","YPI","180131-000.wav","IMG_1100.jpg","IMG_20180707_114632.jpg","ISS","","A",1,0,2,"05:45","","KSL",NA,4
"4501","Tauk","TTB8-5","Indah","Rikardus","2018-01-31","07:18",70,"cerah berawan","YPI","180131-004.wav","IMG_1104.jpg","IMG_20180707_114701.jpg","ISS","","A",2,0,2,"05:14","","KSL",NA,4
